sample_id	split	source_label	target_label	text_preview	caption_prefix_pattern	text_length_bucket	starts_with_enumeration_pattern	enumeration_prefix_kind	titlecase_ratio	uppercase_ratio	ends_with_period	section_number_prefix	short_text_score
doclaynet_heldout_2606_33996	heldout	Text	paragraph	$^{1}$Physics Group, CGE, Chang Gung University, Kwei-Shan 333, Taiwan	none	medium	0	none	0.7273	0.1571	0	0	0.40
doclaynet_heldout_4359_57525	heldout	Section-header	heading	WARRANTY	none	very_short	0	none	0.0000	1.0000	0	0	1.00
doclaynet_heldout_5587_74321	heldout	Title	heading	UNITED STATES SECURITIES AND EXCHANGE COMMISSION	none	short	0	none	0.0000	0.8958	0	0	0.75
doclaynet_heldout_4872_65028	heldout	Title	heading	United States Patent [19]	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_5437_72532	heldout	Title	heading	UNITED STATES SECURITIES AND EXCHANGE COMMISSION	none	short	0	none	0.0000	0.8958	0	0	0.75
doclaynet_heldout_4834_64269	heldout	Title	heading	United States Patent (12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4735_62606	heldout	Title	heading	United States Patent (12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4872_65030	heldout	Title	heading	5,648,520 Patent Number: [111	none	short	0	none	0.3333	0.0690	0	0	0.75
doclaynet_heldout_4842_64414	heldout	Title	heading	United States Patent [19]	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4834_64271	heldout	Title	heading	US 6,503,413 B2 Patent No.: (10)	none	medium	0	none	0.2500	0.1562	0	0	0.40
doclaynet_heldout_4735_62608	heldout	Title	heading	US 6,482,565 Bl Patent No.: (10)	none	medium	0	none	0.3750	0.1562	0	0	0.40
doclaynet_heldout_2604_33942	heldout	Title	heading	Investigation of the Photocurrent in Bulk Heterojunction Solar Cells	none	medium	0	none	0.6667	0.0882	0	0	0.40
doclaynet_heldout_2516_32330	heldout	Title	heading	More on the renormalization of the horizon function of the Gribov-Zwanziger action and the Kugo-Ojima Green function(s)	none	long	0	none	0.3000	0.0504	0	0	0.00
doclaynet_heldout_4842_64416	heldout	Title	heading	5,763,671 Patent Number: [lll	none	short	0	none	0.3333	0.0690	0	0	0.75
doclaynet_heldout_4628_61076	heldout	Title	heading	United States c19) Patent Application Publication c12)	none	medium	0	none	0.7143	0.0926	0	0	0.40
doclaynet_heldout_4771_63213	heldout	Title	heading	United States c19) Patent Application Publication c12)	none	medium	0	none	0.7143	0.0926	0	0	0.40
doclaynet_heldout_4893_65466	heldout	Title	heading	United States c19) Patent Application Publication c12)	none	medium	0	none	0.7143	0.0926	0	0	0.40
doclaynet_heldout_4788_63468	heldout	Title	heading	United States c19) Patent Application Publication c12)	none	medium	0	none	0.7143	0.0926	0	0	0.40
doclaynet_heldout_2751_36953	heldout	Title	heading	On the locus formed by the maximum heights of projectile motion with air resistance	none	medium	0	none	0.0714	0.0120	0	0	0.00
doclaynet_heldout_2678_35576	heldout	Title	heading	Realization of the Exactly Solvable Kitaev Honeycomb Lattice Model in a Spin Rotation Invariant System	none	medium	0	none	0.7333	0.1078	0	0	0.00
doclaynet_heldout_2713_36243	heldout	Title	heading	The extension of radiative viscosity to superfluid matter ∗	none	medium	0	none	0.1250	0.0169	0	0	0.40
doclaynet_heldout_2524_32486	heldout	Title	heading	Statistical Determination of Bulk Flow Motions	none	short	0	none	0.8333	0.1087	0	0	0.75
doclaynet_heldout_2606_33994	heldout	Title	heading	Neutrino mixing in matter	none	short	0	none	0.2500	0.0400	0	0	0.75
doclaynet_heldout_2700_35999	heldout	Title	heading	Accurate transfer maps for realistic beamline elements: ∗ Part I, straight elements	none	medium	0	none	0.1818	0.0361	0	0	0.40
doclaynet_heldout_2491_31843	heldout	Title	heading	Submillimeter Variability and the Gamma-ray Connection in Fermi Blazars	none	medium	0	none	0.6000	0.0845	0	0	0.40
doclaynet_heldout_4923_66171	heldout	Title	heading	United States Patent (12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4923_66169	heldout	Title	heading	US 6,930,141 B2 Patent No.: (10)	none	medium	0	none	0.2500	0.1562	0	0	0.40
doclaynet_heldout_4827_64159	heldout	Title	heading	(19)대한민국특허청(KR)	none	very_short	0	none	0.0000	0.1333	0	0	1.00
doclaynet_heldout_4834_64270	heldout	Title	heading	Uchiyama et al.	none	short	0	none	0.3333	0.0667	1	0	0.75
doclaynet_heldout_4834_64272	heldout	Title	heading	Date of Patent: Jan.7,2003 (45)	none	medium	0	none	0.4286	0.0968	0	0	0.40
doclaynet_heldout_4735_62609	heldout	Title	heading	Nov. Date of Patent: 19, 2002 (45)	none	medium	0	none	0.4286	0.0882	0	0	0.40
doclaynet_heldout_4872_65029	heldout	Title	heading	Knof el et al.	none	short	0	none	0.2500	0.0714	1	0	0.75
doclaynet_heldout_4735_62607	heldout	Title	heading	Jung et al.	none	short	0	none	0.3333	0.0909	1	0	0.75
doclaynet_heldout_4872_65031	heldout	Title	heading	Date Patent: 15, 1997 Jul. of [45]	none	medium	0	none	0.4286	0.0882	0	0	0.40
doclaynet_heldout_3842_51428	heldout	Title	heading	Anordnung über Feuerungsanlagen, Anlagen zur Verteilung von Wärme und zur Warmwasserversorgung sowie Brennstofflagerung (Feuerungsanordnung - FeuAO)	none	medium	0	none	0.4375	0.0743	0	0	0.00
doclaynet_heldout_3804_50844	heldout	Title	heading	Verordnung zur Einreichung von Finanz- und Risikotragfähigkeitsinformationen nach dem Kreditwesengesetz (Finanz- und Risikotragfähigkeitsinformationenverordnung	none	medium	0	none	0.4375	0.0571	0	0	0.00
doclaynet_heldout_3813_50952	heldout	Title	heading	Verordnung über Kreuzungsanlagen im Zuge von Bundesfernstraßen (Bundesfernstraßenkreuzungsverordnung - FStrKrV)	none	medium	0	none	0.4545	0.0811	0	0	0.40
doclaynet_heldout_3033_42023	heldout	Title	heading	D. TENDER FORM FOR A SUPPLY CONTRACT	none	medium	1	alpha	0.0000	0.8056	0	1	0.40
doclaynet_heldout_5437_72533	heldout	Title	heading	Form 10-K	none	short	0	none	0.3333	0.2222	0	0	0.75
doclaynet_heldout_4842_64415	heldout	Title	heading	Bryant et al.	none	short	0	none	0.3333	0.0769	1	0	0.75
doclaynet_heldout_4842_64417	heldout	Title	heading	*Jun. Date of Patent: 9, 1998 [45]	none	medium	0	none	0.4286	0.0882	0	0	0.40
doclaynet_heldout_5375_71777	heldout	Title	heading	UNITED STATES SECURITIES AND EXCHANGE COMMISSION	none	short	0	none	0.0000	0.8958	0	0	0.75
doclaynet_heldout_4916_65983	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4896_65532	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4903_65711	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4906_65784	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4661_61496	heldout	Title	heading	United States Patent c12) Takizawa et al.	none	medium	0	none	0.5714	0.0976	1	0	0.40
doclaynet_heldout_4662_61537	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
doclaynet_heldout_4846_64480	heldout	Title	heading	United States Patent c12) Komuro et al.	none	medium	0	none	0.5714	0.1026	1	0	0.40
doclaynet_heldout_4928_66283	heldout	Title	heading	United States Patent c12) Weaver et al.	none	medium	0	none	0.5714	0.1026	1	0	0.40
doclaynet_heldout_4672_61737	heldout	Title	heading	United States Patent c12)	none	short	0	none	0.7500	0.1200	0	0	0.75
